Path,validation_adam,dataset_name,SequenceType,validation_giovanna,validation_joanes,validation_pboehmsturm,validation_Susanne
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221118_120755_aRi010_1_1_1_21.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221118_120755_aRi010_1_1_1_22.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221118_134533_aRi004_1_1_1_23.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221118_134533_aRi004_1_1_1_24.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221118_134533_aRi004_1_1_1_25.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221118_134533_aRi004_1_1_1_26.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221118_134533_aRi004_1_1_1_27.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221118_134533_aRi004_1_1_1_28.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221118_155515_aRi014_1_1_1_29.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221118_155515_aRi014_1_1_1_30.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221118_155515_aRi014_1_1_1_31.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221118_155515_aRi014_1_1_1_32.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221118_155515_aRi014_1_1_1_33.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221118_155515_aRi014_1_1_1_34.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221121_093642_aRi018_1_1_1_35.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221121_093642_aRi018_1_1_1_36.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221121_093642_aRi018_1_1_1_37.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221121_093642_aRi018_1_1_1_38.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221121_120051_aRi017_1_1_1_39.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221121_120051_aRi017_1_1_1_40.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221121_120051_aRi017_1_1_1_41.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221121_120051_aRi017_1_1_1_42.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221122_120345_aRi020_1_1_1_43.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221122_120345_aRi020_1_1_1_44.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221122_120345_aRi020_1_1_1_45.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221122_120345_aRi020_1_1_1_46.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20230111_094030_aRi022_1_1_1_47.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20230111_094030_aRi022_1_1_1_48.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20230111_124903_aRi021_1_1_1_49.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20230111_124903_aRi021_1_1_1_50.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20230111_124903_aRi021_1_1_1_51.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20230111_124903_aRi021_1_1_1_52.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20230111_143537_aRi025_1_1_1_53.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20230111_143537_aRi025_1_1_1_54.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20230111_143537_aRi025_1_1_1_55.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20230111_143537_aRi025_1_1_1_56.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20230112_123947_aRi030_1_1_1_57.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20230112_123947_aRi030_1_1_1_58.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20230112_123947_aRi030_1_1_1_59.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20230112_123947_aRi030_1_1_1_60.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20230113_090316_aRi024_1_1_1_61.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20230113_090316_aRi024_1_1_1_62.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20230113_090316_aRi024_1_1_1_63.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20230113_090316_aRi024_1_1_1_64.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20230220_125241_aRi043_1_1_1_65.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20230220_125241_aRi043_1_1_1_66.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20230220_125241_aRi043_1_1_1_67.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20230220_125241_aRi043_1_1_1_68.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20230221_125550_aRi037_1_1_1_69.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20230221_125550_aRi037_1_1_1_70.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20230221_125550_aRi037_1_1_1_71.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20230221_125550_aRi037_1_1_1_72.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\diff_20221115_092900_aRi008_1_1_1_1.png,True,117c_m_Ri,diff,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\diff_20221115_121244_aRi016_1_1_1_2.png,True,117c_m_Ri,diff,False,False,True,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\diff_20221116_125918_aRi002_1_1_1_3.png,False,117c_m_Ri,diff,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\diff_20221117_094100_aRi005_1_1_1_4.png,True,117c_m_Ri,diff,True,False,True,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\diff_20221118_093214_aRi007_1_1_1_5.png,True,117c_m_Ri,diff,True,False,True,True
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\diff_20221118_120755_aRi010_1_1_1_6.png,False,117c_m_Ri,diff,True,False,False,True
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\diff_20221118_134533_aRi004_1_1_1_7.png,True,117c_m_Ri,diff,True,False,True,True
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\diff_20221118_155515_aRi014_1_1_1_8.png,False,117c_m_Ri,diff,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\diff_20221121_093642_aRi018_1_1_1_9.png,False,117c_m_Ri,diff,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\diff_20221121_120051_aRi017_1_1_1_10.png,True,117c_m_Ri,diff,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\diff_20221122_120345_aRi020_1_1_1_11.png,False,117c_m_Ri,diff,True,False,False,True
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\diff_20230111_094030_aRi022_1_1_1_12.png,True,117c_m_Ri,diff,False,False,True,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\diff_20230111_124903_aRi021_1_1_1_13.png,False,117c_m_Ri,diff,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\diff_20230111_143537_aRi025_1_1_1_14.png,False,117c_m_Ri,diff,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\diff_20230112_123947_aRi030_1_1_1_15.png,False,117c_m_Ri,diff,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\diff_20230113_090316_aRi024_1_1_1_16.png,False,117c_m_Ri,diff,True,False,False,True
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\diff_20230220_125241_aRi043_1_1_1_17.png,True,117c_m_Ri,diff,False,False,False,True
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\diff_20230221_125550_aRi037_1_1_1_18.png,True,117c_m_Ri,diff,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\func_20221115_092900_aRi008_1_1_1_1.png,False,117c_m_Ri,func,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\func_20221115_121244_aRi016_1_1_1_2.png,False,117c_m_Ri,func,True,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\func_20221116_125918_aRi002_1_1_1_3.png,False,117c_m_Ri,func,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\func_20221117_094100_aRi005_1_1_1_4.png,False,117c_m_Ri,func,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\func_20221118_093214_aRi007_1_1_1_5.png,False,117c_m_Ri,func,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\func_20221118_120755_aRi010_1_1_1_6.png,True,117c_m_Ri,func,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\func_20221118_134533_aRi004_1_1_1_7.png,False,117c_m_Ri,func,True,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\func_20221118_155515_aRi014_1_1_1_8.png,False,117c_m_Ri,func,True,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\func_20221121_093642_aRi018_1_1_1_9.png,False,117c_m_Ri,func,True,False,False,True
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\func_20221121_120051_aRi017_1_1_1_10.png,False,117c_m_Ri,func,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\func_20221122_120345_aRi020_1_1_1_11.png,False,117c_m_Ri,func,False,False,False,True
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\func_20230111_094030_aRi022_1_1_1_12.png,True,117c_m_Ri,func,True,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\func_20230111_124903_aRi021_1_1_1_13.png,False,117c_m_Ri,func,True,True,True,True
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\func_20230111_143537_aRi025_1_1_1_14.png,False,117c_m_Ri,func,True,True,True,True
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\func_20230112_123947_aRi030_1_1_1_15.png,False,117c_m_Ri,func,True,True,True,True
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\func_20230113_090316_aRi024_1_1_1_16.png,False,117c_m_Ri,func,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\func_20230220_125241_aRi043_1_1_1_17.png,False,117c_m_Ri,func,True,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\func_20230221_125550_aRi037_1_1_1_18.png,False,117c_m_Ri,func,True,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_201800907_152058_AE0617_6_w00_170907_1_1_1.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_201800907_152058_AE0617_6_w00_170907_1_1_2.png,False,117_m_Ra,anat,False,False,True,True
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_201800907_152058_AE0617_6_w00_170907_1_1_3.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_201800907_152058_AE0617_6_w00_170907_1_1_4.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_201800907_152058_AE0617_6_w00_170907_1_1_5.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_201800907_152058_AE0617_6_w00_170907_1_1_6.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_201800907_152058_AE0617_6_w00_170907_1_1_7.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_201800907_152058_AE0617_6_w00_170907_1_1_8.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_201800907_152058_AE0617_6_w00_170907_1_1_9.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_20181017_081132_AE0617_18_w07_181017_1_1_10.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_20181017_081132_AE0617_18_w07_181017_1_1_11.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_20181017_081132_AE0617_18_w07_181017_1_1_12.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_20181017_081132_AE0617_18_w07_181017_1_1_13.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_20181017_081132_AE0617_18_w07_181017_1_1_14.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_20181017_081132_AE0617_18_w07_181017_1_1_15.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_20181017_081132_AE0617_18_w07_181017_1_1_16.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_20181017_081132_AE0617_18_w07_181017_1_1_17.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_20181017_110514_AE0617_27_w07_181017_1_1_18.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_20181017_110514_AE0617_27_w07_181017_1_1_19.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_20181017_110514_AE0617_27_w07_181017_1_1_20.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_20181017_110514_AE0617_27_w07_181017_1_1_21.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_20181017_110514_AE0617_27_w07_181017_1_1_22.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_20181017_110514_AE0617_27_w07_181017_1_1_23.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_20181017_110514_AE0617_27_w07_181017_1_1_24.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_20181017_110514_AE0617_27_w07_181017_1_1_25.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_20181017_134753_AE0617_21_w07_181017_1_1_26.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_20181017_134753_AE0617_21_w07_181017_1_1_27.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_20181017_134753_AE0617_21_w07_181017_1_1_28.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_20181017_134753_AE0617_21_w07_181017_1_1_29.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_20181017_134753_AE0617_21_w07_181017_1_1_30.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_20181017_134753_AE0617_21_w07_181017_1_1_31.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_20181017_134753_AE0617_21_w07_181017_1_1_32.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_20181017_134753_AE0617_21_w07_181017_1_1_33.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_20181022_081449_AE0617_118_w07_181022_2_1_1_34.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_20181022_081449_AE0617_118_w07_181022_2_1_1_35.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_20181022_081449_AE0617_118_w07_181022_2_1_1_36.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_20181022_081449_AE0617_118_w07_181022_2_1_1_37.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_20181022_081449_AE0617_118_w07_181022_2_1_1_38.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_20181022_081449_AE0617_118_w07_181022_2_1_1_39.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_20181022_081449_AE0617_118_w07_181022_2_1_1_40.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_20181022_081449_AE0617_118_w07_181022_2_1_1_41.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_20181022_111403_AE0617_119_w07_181022_1_1_42.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_20181022_111403_AE0617_119_w07_181022_1_1_43.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_20181022_111403_AE0617_119_w07_181022_1_1_44.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_20181022_111403_AE0617_119_w07_181022_1_1_45.png,False,117_m_Ra,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection\anat_20181022_111403_AE0617_119_w07_181022_1_1_46.png,False,117_m_Ra,anat,False,False,False,False
