Pathes;corresponding_img;One_class_SVM;IsolationForest;LocalOutlierFactor; EllipticEnvelope;statistical_method;Voting outliers (from 5);dataset;corresponding_img_Path;SequenceType;Valdiation_MA
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Rivera-Olvera\20221115_092900_aRi008_1_1_1\7;func_20221115_092900_aRi008_1_1_1_1.png;FALSE;TRUE;FALSE;TRUE;FALSE;2;117c_m_Ri;C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection;func;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Rivera-Olvera\20221121_120051_aRi017_1_1_1\10;func_20221121_120051_aRi017_1_1_1_10.png;TRUE;FALSE;FALSE;FALSE;FALSE;1;117c_m_Ri;C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection;func;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Rivera-Olvera\20230220_125241_aRi043_1_1_1\8;func_20230220_125241_aRi043_1_1_1_17.png;FALSE;FALSE;TRUE;FALSE;FALSE;1;117c_m_Ri;C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection;func;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\201800907_152058_AE0617_6_w00_170907_1_1\11;anat_201800907_152058_AE0617_6_w00_170907_1_1_2.png;TRUE;FALSE;FALSE;FALSE;FALSE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\201800907_152058_AE0617_6_w00_170907_1_1\4;anat_201800907_152058_AE0617_6_w00_170907_1_1_5.png;FALSE;TRUE;TRUE;FALSE;FALSE;2;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\201800907_152058_AE0617_6_w00_170907_1_1\6;anat_201800907_152058_AE0617_6_w00_170907_1_1_6.png;FALSE;FALSE;TRUE;FALSE;FALSE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\201800907_152058_AE0617_6_w00_170907_1_1\7;anat_201800907_152058_AE0617_6_w00_170907_1_1_7.png;FALSE;TRUE;FALSE;FALSE;FALSE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\201800907_152058_AE0617_6_w00_170907_1_1\9;anat_201800907_152058_AE0617_6_w00_170907_1_1_9.png;FALSE;TRUE;TRUE;FALSE;FALSE;2;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20181017_134753_AE0617_21_w07_181017_1_1\10;anat_20181017_134753_AE0617_21_w07_181017_1_1_26.png;FALSE;FALSE;FALSE;TRUE;FALSE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20181017_134753_AE0617_21_w07_181017_1_1\15;anat_20181017_134753_AE0617_21_w07_181017_1_1_28.png;FALSE;FALSE;TRUE;FALSE;FALSE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20181017_134753_AE0617_21_w07_181017_1_1\16;anat_20181017_134753_AE0617_21_w07_181017_1_1_29.png;FALSE;TRUE;FALSE;FALSE;FALSE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20181022_081449_AE0617_118_w07_181022_2_1_1\13;anat_20181022_081449_AE0617_118_w07_181022_2_1_1_35.png;TRUE;TRUE;TRUE;FALSE;FALSE;3;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;FALSE
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20181024_082017_AE0617_18_w08_181024_1_1\12;anat_20181024_082017_AE0617_18_w08_181024_1_1_59.png;FALSE;FALSE;FALSE;TRUE;FALSE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20181024_082017_AE0617_18_w08_181024_1_1\4;anat_20181024_082017_AE0617_18_w08_181024_1_1_61.png;TRUE;FALSE;FALSE;FALSE;FALSE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20181024_112655_AE0617_27_w08_241018_1_1\24;anat_20181024_112655_AE0617_27_w08_241018_1_1_68.png;FALSE;TRUE;FALSE;TRUE;FALSE;2;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20181024_141956_AE0617_21_w08_181024_1_1\10;anat_20181024_141956_AE0617_21_w08_181024_1_1_74.png;FALSE;FALSE;FALSE;TRUE;FALSE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20181029_082032_AE0617_118_w08_181029_1_1\10;anat_20181029_082032_AE0617_118_w08_181029_1_1_82.png;FALSE;TRUE;FALSE;FALSE;FALSE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20181029_082032_AE0617_118_w08_181029_1_1\11;anat_20181029_082032_AE0617_118_w08_181029_1_1_83.png;TRUE;TRUE;TRUE;FALSE;FALSE;3;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;FALSE
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20181029_082032_AE0617_118_w08_181029_1_1\4;anat_20181029_082032_AE0617_118_w08_181029_1_1_85.png;TRUE;FALSE;FALSE;FALSE;FALSE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20181029_082032_AE0617_118_w08_181029_1_1\8;anat_20181029_082032_AE0617_118_w08_181029_1_1_88.png;FALSE;FALSE;TRUE;FALSE;FALSE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20181029_114532_AE0617_119_w08_181029_1_1\11;anat_20181029_114532_AE0617_119_w08_181029_1_1_90.png;TRUE;FALSE;FALSE;FALSE;FALSE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20181029_114532_AE0617_119_w08_181029_1_1\13;anat_20181029_114532_AE0617_119_w08_181029_1_1_91.png;FALSE;FALSE;FALSE;TRUE;FALSE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20181029_114532_AE0617_119_w08_181029_1_1\4;anat_20181029_114532_AE0617_119_w08_181029_1_1_93.png;TRUE;FALSE;FALSE;FALSE;FALSE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20181029_143622_AE0617_121_w08_181029_1_1\11;anat_20181029_143622_AE0617_121_w08_181029_1_1_99.png;TRUE;FALSE;FALSE;FALSE;FALSE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20181030_081636_AE0617_18_w09_181030_1_1\10;anat_20181030_081636_AE0617_18_w09_181030_1_1_106.png;FALSE;TRUE;FALSE;TRUE;FALSE;2;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20181105_081312_AE0617_118_w09_181105_1_1\8;anat_20181105_081312_AE0617_118_w09_181105_1_1_136.png;FALSE;TRUE;FALSE;FALSE;FALSE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20181107_080641_AE0617_18_w10_181107_1_1\10;anat_20181107_080641_AE0617_18_w10_181107_1_1_154.png;FALSE;FALSE;FALSE;TRUE;FALSE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20181107_105735_AE0617_27_w10_181107_1_1\8;anat_20181107_105735_AE0617_27_w10_181107_1_1_168.png;FALSE;TRUE;FALSE;FALSE;FALSE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20181107_134015_AE0617_21_w10_181107_1_1\11;anat_20181107_134015_AE0617_21_w10_181107_1_1_171.png;FALSE;TRUE;TRUE;FALSE;FALSE;2;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20181107_134015_AE0617_21_w10_181107_1_1\12;anat_20181107_134015_AE0617_21_w10_181107_1_1_172.png;FALSE;FALSE;TRUE;FALSE;FALSE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20181107_134015_AE0617_21_w10_181107_1_1\13;anat_20181107_134015_AE0617_21_w10_181107_1_1_173.png;FALSE;TRUE;FALSE;FALSE;FALSE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20181112_140121_AE0617_121_w10_181112_1_1\4;anat_20181112_140121_AE0617_121_w10_181112_1_1_197.png;TRUE;FALSE;FALSE;FALSE;FALSE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina-NOSE-7.5A1\6;anat_irina-NOSE-7.5A1_73.png;FALSE;TRUE;TRUE;TRUE;FALSE;3;164_m_Ku;C:\Users\aswen\Desktop\Code\Validation3\164_m_Ku\manual_slice_inspection;anat;TRUE
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20190408_081928_AE0617_20_6month_190408_1_1\14;anat_20190408_081928_AE0617_20_6month_190408_1_1_214.png;FALSE;FALSE;TRUE;FALSE;FALSE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20190408_081928_AE0617_20_6month_190408_1_1\15;anat_20190408_081928_AE0617_20_6month_190408_1_1_215.png;TRUE;FALSE;FALSE;FALSE;FALSE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20190408_081928_AE0617_20_6month_190408_1_1\16;anat_20190408_081928_AE0617_20_6month_190408_1_1_216.png;TRUE;FALSE;FALSE;FALSE;FALSE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20190408_111220_AE0617_24_6month_190408_1_1\14;anat_20190408_111220_AE0617_24_6month_190408_1_1_222.png;FALSE;FALSE;FALSE;TRUE;FALSE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20190408_140234_AE0617_25_6month_190408_1_1\10;anat_20190408_140234_AE0617_25_6month_190408_1_1_226.png;FALSE;TRUE;FALSE;TRUE;FALSE;2;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20190408_140234_AE0617_25_6month_190408_1_1\7;anat_20190408_140234_AE0617_25_6month_190408_1_1_231.png;FALSE;TRUE;FALSE;FALSE;FALSE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20190409_105745_AE0617_125_6month_190409_1_1\10;anat_20190409_105745_AE0617_125_6month_190409_1_1_234.png;FALSE;TRUE;FALSE;FALSE;FALSE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20190409_105745_AE0617_125_6month_190409_1_1\4;anat_20190409_105745_AE0617_125_6month_190409_1_1_237.png;TRUE;FALSE;FALSE;FALSE;FALSE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_6\20190403_091901_AE0818_rs_Cup_2_1_3\6;anat_20190403_091901_AE0818_rs_Cup_2_1_3_275.png;TRUE;FALSE;FALSE;FALSE;FALSE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_6\20190403_125557_AE0818_rs_Cup_5_1_3\7;anat_20190403_125557_AE0818_rs_Cup_5_1_3_284.png;FALSE;FALSE;TRUE;FALSE;FALSE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_6\20191104_123823_AE0818_rs_Cup_2_1_6\10;anat_20191104_123823_AE0818_rs_Cup_2_1_6_311.png;FALSE;FALSE;TRUE;FALSE;FALSE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_6\20191104_151132_AE0818_rs_Cup_4_1_6\8;anat_20191104_151132_AE0818_rs_Cup_4_1_6_316.png;TRUE;FALSE;FALSE;FALSE;FALSE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_6\20191125_112135_AE0818_rs_Cup_3_1_7\6;anat_20191125_112135_AE0818_rs_Cup_3_1_7_325.png;TRUE;FALSE;FALSE;FALSE;FALSE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\201800907_152058_AE0617_6_w00_170907_1_1\12;diff_201800907_152058_AE0617_6_w00_170907_1_1_1.png;FALSE;TRUE;TRUE;FALSE;FALSE;2;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;diff;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20181029_114532_AE0617_119_w08_181029_1_1\12;diff_20181029_114532_AE0617_119_w08_181029_1_1_8.png;FALSE;FALSE;FALSE;FALSE;TRUE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;diff;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20181029_143622_AE0617_121_w08_181029_1_1\12;diff_20181029_143622_AE0617_121_w08_181029_1_1_9.png;FALSE;FALSE;FALSE;FALSE;TRUE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;diff;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20181030_081636_AE0617_18_w09_181030_1_1\12;diff_20181030_081636_AE0617_18_w09_181030_1_1_10.png;FALSE;FALSE;FALSE;FALSE;TRUE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;diff;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20181030_105840_AE0617_27_w09_181030_1_1\13;diff_20181030_105840_AE0617_27_w09_181030_1_1_11.png;FALSE;TRUE;FALSE;TRUE;TRUE;3;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;diff;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20190408_081928_AE0617_20_6month_190408_1_1\17;diff_20190408_081928_AE0617_20_6month_190408_1_1_22.png;TRUE;FALSE;FALSE;FALSE;FALSE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;diff;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20190409_105745_AE0617_125_6month_190409_1_1\12;diff_20190409_105745_AE0617_125_6month_190409_1_1_25.png;TRUE;FALSE;FALSE;FALSE;TRUE;2;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;diff;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Franx_permuted\data\sub-29\ses-02\anat\sub-29_ses-02_acq-7_t1w.nii.gz;anat_anat_sub-29_ses-02_acq-7_t1w_249.png;TRUE;TRUE;FALSE;TRUE;TRUE;4;94_r_Fr;C:\Users\aswen\Desktop\Code\Validation3\94_r_Fr\manual_slice_inspection;anat;TRUE
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_6\20190416_174125_AE0818_rs_Cup_3_1_4\10;func_20190416_174125_AE0818_rs_Cup_3_1_4_51.png;FALSE;TRUE;TRUE;FALSE;TRUE;3;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;func;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_6\20190416_174125_AE0818_rs_Cup_3_1_4\8;func_20190416_174125_AE0818_rs_Cup_3_1_4_52.png;TRUE;FALSE;FALSE;FALSE;TRUE;2;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;func;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_6\20190416_174125_AE0818_rs_Cup_3_1_4\9;func_20190416_174125_AE0818_rs_Cup_3_1_4_53.png;FALSE;TRUE;TRUE;FALSE;TRUE;3;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;func;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_6\20190417_110230_AE0818_rs_Cup_5_1_4\9;func_20190417_110230_AE0818_rs_Cup_5_1_4_59.png;FALSE;FALSE;FALSE;TRUE;FALSE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;func;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_6\20190417_115136_AE0818_rs_Cup_4_1_4\8;func_20190417_115136_AE0818_rs_Cup_4_1_4_61.png;FALSE;FALSE;FALSE;FALSE;TRUE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;func;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Franx_permuted\data\sub-29\ses-02\anat\sub-29_ses-02_acq-8_t1w.nii.gz;anat_anat_sub-29_ses-02_acq-8_t1w_250.png;TRUE;TRUE;FALSE;TRUE;TRUE;4;94_r_Fr;C:\Users\aswen\Desktop\Code\Validation3\94_r_Fr\manual_slice_inspection;anat;TRUE
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_6\20190508_094631_AE0818_rs_Cup_2_1_5\8;func_20190508_094631_AE0818_rs_Cup_2_1_5_71.png;FALSE;FALSE;FALSE;FALSE;TRUE;1;117_m_Ra;C:\Users\aswen\Desktop\Code\Validation3\117_m_Ra\manual_slice_inspection;func;
