,FileAddress,SNR Chang,SNR Normal,Displacement factor (std of Mutual information),Goasting
30,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Rivera-Olvera\20221118_093214_aRi007_1_1_1\8,40.77639321,23.22056599,0.070694727,FALSE
936,Z:\AG Aswendt\Projects\Backup\Publications\2023_Kalantari_AIDAqc\inputs\mri\Wenk_anon\Mouse\random_9\9,39.87125295,29.86221051,0.139517065,FALSE
27,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Rivera-Olvera\20221115_121244_aRi016_1_1_1\8,39.59104512,18.6968453,0.059972415,FALSE
109,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina-test2.5w2\13,39.53296583,29.06983267,0.102162451,FALSE
929,Z:\AG Aswendt\Projects\Backup\Publications\2023_Kalantari_AIDAqc\inputs\mri\Wenk_anon\Mouse\random_2\7,39.13704478,31.75360271,0.140617556,FALSE
154,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_NOSE_75.761\7,38.82596846,25.60157889,0.211548533,FALSE
108,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina-test1.5w1\16,38.4812503,9.007222142,0.155877516,FALSE
121,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_control_79.762\6,38.33465204,31.09506427,0.142970048,FALSE
122,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_control_80.762\6,38.10023232,26.79511512,0.137753006,FALSE
156,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_SE_41.5Y1\6,37.94830455,33.09081928,0.194791711,FALSE
123,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_control_81.762\6,37.7942274,25.58324379,0.141985615,FALSE
160,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_SE_42.5Y1\6,37.52800266,22.39387627,0.152851609,FALSE
296,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Longo\Longo_dicom_EPI-diffusion-map_20120404114108_5.nii.gz,37.44848332,32.25863027,0.171419494,FALSE
297,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Longo\Longo_dicom_EPI-diffusion-map_20120404114108_5a.nii.gz,37.44848332,32.25863027,0.171419494,FALSE
57,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina-NOSE-28.6d1\11,37.42046139,31.49354141,0.157408984,FALSE
162,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_SE_43.5X1\6,37.37613123,24.95513668,0.192677177,FALSE
79,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina-SE-16.641\6,37.3450864,22.11158753,0.210354005,FALSE
185,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_SE_67.6z1\7,37.34145915,30.44197824,0.197688554,FALSE
188,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_SE_71.6z1\6,37.18137049,18.96296065,0.139688226,FALSE
290,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Longo\Longo_dicom_EPI-diffusion-map_20120320100247_5.nii.gz,37.03277959,30.27639897,0.160144588,FALSE
291,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Longo\Longo_dicom_EPI-diffusion-map_20120320100247_5a.nii.gz,37.03277959,30.27639897,0.160144588,FALSE
151,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_NOSE_75.6N1\6,37.02135913,19.53802719,0.218415212,FALSE
132,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_NOSE_54.5Z1\6,37.00810244,32.55092504,0.200185489,FALSE
105,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina-SE-37.5J1\6,37.00495284,29.58245556,0.211667181,FALSE
298,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Longo\Longo_dicom_EPI-diffusion-map_20120405122823_5.nii.gz,36.98768523,26.76172443,0.205237683,FALSE
299,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Longo\Longo_dicom_EPI-diffusion-map_20120405122823_5a.nii.gz,36.98768523,26.76172443,0.205237683,FALSE
119,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_control_63.6e1\5,36.9419406,23.52022422,0.215340305,FALSE
80,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina-SE-16.6p1\6,36.88322387,29.7829074,0.21013164,FALSE
87,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina-SE-20.5I1\6,36.88156842,31.0381904,0.1987522,FALSE
322,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Longo\Longo_dicom_EPI-diffusion-map_20121120100941_5.nii.gz,36.81000139,29.19013187,0.291223131,FALSE
323,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Longo\Longo_dicom_EPI-diffusion-map_20121120100941_5a.nii.gz,36.81000139,29.19013187,0.291223131,FALSE
76,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina-NOSE-8.6o1\7,36.79580634,32.82152039,0.218242612,FALSE
155,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_SE_41.5X1\6,36.76172384,30.45393846,0.218156062,FALSE
147,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_NOSE_73.6N1\6,36.72812108,22.54338206,0.209642754,FALSE
153,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_NOSE_75.6z1\6,36.71411881,29.06389603,0.205104812,FALSE
318,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Longo\Longo_dicom_EPI-diffusion-map_20121031124343_5.nii.gz,36.7129054,30.35518938,0.245129765,FALSE
319,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Longo\Longo_dicom_EPI-diffusion-map_20121031124343_5a.nii.gz,36.7129054,30.35518938,0.245129765,FALSE
138,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_NOSE_6.6o1\6,36.69787408,31.32985576,0.200960023,FALSE
148,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_NOSE_73.6y2\6,36.67083697,30.45248693,0.142709145,FALSE
71,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina-NOSE-7.631\6,36.63651267,18.26922312,0.13955478,FALSE
49,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina-control-3.5C1\7,36.60251366,29.93460588,0.182201036,FALSE
126,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_NOSE_40.6c1\7,36.57950771,18.69308073,0.228044656,FALSE
292,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Longo\Longo_dicom_EPI-diffusion-map_20120321103136_5.nii.gz,36.57124393,33.80161624,0.114695904,FALSE
293,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Longo\Longo_dicom_EPI-diffusion-map_20120321103136_5a.nii.gz,36.57124393,33.80161624,0.114695904,FALSE
193,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_SE_9.6o1\7,36.5607,24.89384169,0.211476014,FALSE
184,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_SE_67.6y2\6,36.54260142,30.46637741,0.19462935,FALSE
82,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina-SE-2.5A1\12,36.53101722,26.30698965,0.214584191,FALSE
324,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Longo\Longo_dicom_EPI-diffusion-map_20121129135026_5.nii.gz,36.47649787,31.64046232,0.256346714,FALSE
325,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Longo\Longo_dicom_EPI-diffusion-map_20121129135026_5a.nii.gz,36.47649787,31.64046232,0.256346714,FALSE
157,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_SE_41.6c1\7,36.47362502,19.21825834,0.1512361,FALSE
135,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_NOSE_54.6x1\6,36.44872633,30.81799311,0.225186174,FALSE
337,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Micotti\Mario_Negri_females_C57Bl6J_8months\20191011_083825_NeuroImaging_C57J_MN_16_1_2\8,36.44224521,21.0968062,0.106955689,FALSE
45,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina-CD1.641\6,36.44201434,28.33814328,0.324843801,FALSE
86,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina-SE-2.6o1\6,36.42406198,16.49832513,0.182559845,FALSE
294,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Longo\Longo_dicom_EPI-diffusion-map_20120327104105_5.nii.gz,36.42069699,33.01530829,0.128287981,FALSE
295,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Longo\Longo_dicom_EPI-diffusion-map_20120327104105_5a.nii.gz,36.42069699,33.01530829,0.128287981,FALSE
77,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina-SE-16.5B1\7,36.38240183,26.91599828,0.063179193,FALSE
69,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina-NOSE-7.5A1\7,36.37423548,20.55832032,0.160757911,FALSE
53,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina-control-3.6p1\6,36.36949849,31.61576228,0.180554573,FALSE
192,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_SE_9.631\6,36.30742749,26.48250423,0.181344127,FALSE
99,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina-SE-3.6o1\6,36.26225395,27.90620535,0.171405172,FALSE
110,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_control_27.5I2\7,36.26083028,29.60684462,0.180023383,FALSE
46,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina-CD1.6p1\6,36.24577711,28.26028978,0.208054255,FALSE
102,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina-SE-33.6d1\7,36.20081392,19.79749492,0.15872106,FALSE
59,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina-NOSE-32.5C1\6,36.19756341,26.11664973,0.106824708,FALSE
116,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_control_62.6x1\9,36.19307653,31.15382537,0.169573687,FALSE
115,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_control_62.6e1\6,36.18738393,13.48892358,0.141045453,FALSE
174,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_SE_53.6c2\6,36.18288856,30.86638608,0.154886876,FALSE
164,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_SE_48.5X1\6,36.15158725,20.68782131,0.20080084,FALSE
150,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_NOSE_73.751\13,36.14655392,12.12716295,0.161211822,FALSE
320,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Longo\Longo_dicom_EPI-diffusion-map_20121114103125_5.nii.gz,36.14111614,30.24001949,0.211604317,FALSE
321,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Longo\Longo_dicom_EPI-diffusion-map_20121114103125_5a.nii.gz,36.14111614,30.24001949,0.211604317,FALSE
145,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_NOSE_61.6e1\7,36.13848465,28.29982466,0.204457862,FALSE
161,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_SE_42.6c1\7,36.11714257,27.05521808,0.196454655,FALSE
300,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Longo\Longo_dicom_EPI-diffusion-map_20120418124608_5.nii.gz,36.07366632,30.85105175,0.147866961,FALSE
301,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Longo\Longo_dicom_EPI-diffusion-map_20120418124608_5a.nii.gz,36.07366632,30.85105175,0.147866961,FALSE
306,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Longo\Longo_dicom_EPI-diffusion-map_20120724165239_5.nii.gz,36.0629567,20.0324634,0.306972084,FALSE
307,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Longo\Longo_dicom_EPI-diffusion-map_20120724165239_5a.nii.gz,36.0629567,20.0324634,0.306972084,FALSE
144,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_NOSE_61.601\6,36.0594018,27.14011616,0.209239289,FALSE
54,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina-control2.5A1\9,36.05628603,32.93683083,0.185380646,FALSE
124,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_NOSE_40.5X1\7,36.0512671,31.84746462,0.195193297,FALSE
64,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina-NOSE-32.6q1\6,36.03717997,27.93060845,0.224954604,FALSE
117,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_control_63.5Z1\6,36.01716916,22.61675699,0.177974118,FALSE
176,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_SE_65.6y2\6,36.0024143,31.29280872,0.206944117,FALSE
353,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Micotti\Mario_Negri_mice_males_C57Bl6J_8months\20190926_094743_NeuroImaging_C57J_MN_05_1_2\8,35.99936533,21.99866061,0.092320613,FALSE
94,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina-SE-29.6q1\6,35.95692529,24.57561759,0.201673268,FALSE
103,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina-SE-33.6q1\6,35.9523996,21.6179659,0.203810619,FALSE
58,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina-NOSE-28.6q1\6,35.95177717,25.3518244,0.207971272,FALSE
308,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Longo\Longo_dicom_EPI-diffusion-map_20120725154017_5.nii.gz,35.94428486,28.38472479,0.19495649,FALSE
309,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Longo\Longo_dicom_EPI-diffusion-map_20120725154017_5a.nii.gz,35.94428486,28.38472479,0.19495649,FALSE
106,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina-SE-37.6d1\6,35.92321008,19.28268483,0.209625337,FALSE
129,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_NOSE_52.601\6,35.91945022,21.82221987,0.206457369,FALSE
91,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina-SE-29.5C1\6,35.89222668,28.96835064,0.188333244,FALSE
170,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_se_50.5Y1\6,35.85160364,31.65776628,0.167156318,FALSE
60,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina-NOSE-32.5J1\6,35.82429413,25.05845104,0.17059152,FALSE
81,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina-SE-17.5B1\6,35.81173511,25.59543141,0.107284588,FALSE
1155,Z:\AG Aswendt\Projects\Backup\Publications\2023_Kalantari_AIDAqc\inputs\mri\Wenk_anon\Rat_fMRI_plus_DTI\random_16\10,35.79466674,20.4328447,0.135605018,FALSE
1171,Z:\AG Aswendt\Projects\Backup\Publications\2023_Kalantari_AIDAqc\inputs\mri\Wenk_anon\Rat_fMRI_plus_DTI\random_30\8,35.75778422,14.16285678,0.14579647,FALSE
112,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_control_27.6p1\6,35.74813208,29.21646503,0.191341492,FALSE
149,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_NOSE_73.6z1\7,35.74468066,17.83233032,0.111495452,FALSE
85,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina-SE-2.631\12,35.7292647,30.85570809,0.152311747,FALSE
1147,Z:\AG Aswendt\Projects\Backup\Publications\2023_Kalantari_AIDAqc\inputs\mri\Wenk_anon\Rat_fMRI_plus_DTI\random_0\5,35.72455038,11.80104145,0.133323408,FALSE
152,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_NOSE_75.6y2\6,35.70453286,23.17829361,0.205370943,FALSE
175,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_SE_65.6N1\8,35.69927934,26.46860078,0.174822369,FALSE
134,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_NOSE_54.6e1\6,35.69501971,26.42837449,0.179514684,FALSE
1148,Z:\AG Aswendt\Projects\Backup\Publications\2023_Kalantari_AIDAqc\inputs\mri\Wenk_anon\Rat_fMRI_plus_DTI\random_1\5,35.68513081,20.94807123,0.127471402,FALSE
189,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_SE_72_5weeks.752\7,35.67970305,27.62425242,0.205671569,FALSE
127,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_NOSE_40.6x1\6,35.67955736,31.63940779,0.208391515,FALSE
55,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina-NOSE-28.5C1\6,35.67369207,26.39330978,0.154643112,FALSE
179,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_SE_66.6N1\6,35.67000049,24.21349153,0.202260623,FALSE
182,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_SE_66.751\6,35.65345597,21.07554694,0.20294624,FALSE
163,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_SE_43.5Y1\6,35.65308015,25.06065745,0.185184809,FALSE
331,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Micotti\Mario_Negri_females_C57Bl6J_8months\20191010_092649_NeuroImaging_C57J_MN_13_1_3\8,35.63875996,19.50713517,0.107558066,FALSE
1150,Z:\AG Aswendt\Projects\Backup\Publications\2023_Kalantari_AIDAqc\inputs\mri\Wenk_anon\Rat_fMRI_plus_DTI\random_11\5,35.63319523,17.74781586,0.110636565,FALSE
1164,Z:\AG Aswendt\Projects\Backup\Publications\2023_Kalantari_AIDAqc\inputs\mri\Wenk_anon\Rat_fMRI_plus_DTI\random_24\5,35.62477435,18.42136422,0.143831339,FALSE
187,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_SE_71.6y2\6,35.62157506,27.31612607,0.227391532,FALSE
47,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina-control-27.5C1\6,35.61715104,32.57476122,0.118461113,FALSE
78,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina-SE-16.5I1\6,35.6098847,28.29661576,0.214612512,FALSE
137,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_NOSE_6.631\6,35.58938253,26.91368715,0.158532379,FALSE
177,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_SE_65.6z1\7,35.5884179,29.91438858,0.153947736,FALSE
67,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina-NOSE-35.6d1\6,35.58061554,23.13091141,0.208318651,FALSE
142,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_NOSE_60.6x1\6,35.57597189,24.3805791,0.200491456,FALSE
191,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina_SE_9.5H1\6,35.55719611,29.83716848,0.1923344,FALSE
75,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Kurniawan\archived_projects\irina-NOSE-8.631\6,35.55471319,26.1705646,0.098460319,FALSE
