dataset_name,sequence_name,Thresold_ML_Voters,Thresold_Human_Voters,TP,TN,FP,FN,SUM,Precision,Accuracy,Prevalence,Sensitivity-Recall,Specificity,F1 Score,Informedness,Markedness,Diagnostic Odds Ratio,Phi Coefficient,Fowlkes-Mallows Index,Negative Predictive Value,Miss Rate,Fall-out,False Discovery Rate,False Omission Rate,Positive Likelihood Ratio,Negative Likelihood Ratio,Prevalence Threshold,Threat Score
164_m_Ku,diff,1,1,2,114,13,21,150,0.133333333,0.773333333,0.153333333,0.086956522,0.897637795,0.105263158,-0.015405683,0.133333333,0.849498328,-0.018502662,0.10767638,0.844444444,0.913043478,0.102362205,0.866666667,0.155555556,0.849498328,1.017162471,0.1,0.105263158
164_m_Ku,diff,2,1,2,121,6,21,150,0.25,0.82,0.153333333,0.086956522,0.952755906,0.129032258,0.039712427,0.25,1.84057971,0.063679999,0.147441956,0.852112676,0.913043478,0.047244094,0.75,0.147887324,1.84057971,0.958318361,0.053333333,0.129032258
164_m_Ku,diff,3,1,2,123,4,21,150,0.333333333,0.833333333,0.153333333,0.086956522,0.968503937,0.137931034,0.055460459,0.333333333,2.760869565,0.101974683,0.170251306,0.854166667,0.913043478,0.031496063,0.666666667,0.145833333,2.760869565,0.942735949,0.04,0.137931034
94_m_We,func,1,1,20,17,8,218,263,0.714285714,0.140684411,0.904942966,0.084033613,0.68,0.15037594,-0.235966387,0.714285714,0.262605042,-0.224385959,0.244997979,0.072340426,0.915966387,0.32,0.285714286,0.927659574,0.262605042,1.347009392,0.106463878,0.15037594
7_m_St,anat,2,1,1,7,0,11,19,1,0.421052632,0.631578947,0.083333333,1,0.153846154,0.083333333,1,inf,0.180020575,0.288675135,0.388888889,0.916666667,0,0,0.611111111,inf,0.916666667,0.052631579,0.153846154
7_m_St,anat,3,1,1,7,0,11,19,1,0.421052632,0.631578947,0.083333333,1,0.153846154,0.083333333,1,inf,0.180020575,0.288675135,0.388888889,0.916666667,0,0,0.611111111,inf,0.916666667,0.052631579,0.153846154
7_m_Lo,diff,2,1,2,12,0,22,36,1,0.388888889,0.666666667,0.083333333,1,0.153846154,0.083333333,1,inf,0.171498585,0.288675135,0.352941176,0.916666667,0,0,0.647058824,inf,0.916666667,0.055555556,0.153846154
94_m_We,func,2,3,7,173,3,80,263,0.7,0.684410646,0.330798479,0.08045977,0.982954545,0.144329897,0.063414316,0.7,4.720306513,0.156006613,0.237322226,0.683794466,0.91954023,0.017045455,0.3,0.316205534,4.720306513,0.935486014,0.038022814,0.144329897
94_r_Fr,anat,2,1,12,553,15,141,721,0.444444444,0.783633842,0.21220527,0.078431373,0.973591549,0.133333333,0.052022922,0.444444444,2.969934641,0.112034816,0.186704011,0.796829971,0.921568627,0.026408451,0.555555556,0.203170029,2.969934641,0.946565968,0.037447989,0.133333333
7_r_Se,diff,2,1,1,194,2,12,209,0.333333333,0.933014354,0.062200957,0.076923077,0.989795918,0.125,0.066718995,0.333333333,7.538461538,0.135473694,0.160128154,0.941747573,0.923076923,0.010204082,0.666666667,0.058252427,7.538461538,0.93259318,0.014354067,0.125
7_r_Se,diff,3,1,1,195,1,12,209,0.5,0.937799043,0.062200957,0.076923077,0.994897959,0.133333333,0.071821036,0.5,15.07692308,0.178176822,0.196116135,0.942028986,0.923076923,0.005102041,0.5,0.057971014,15.07692308,0.927810651,0.009569378,0.133333333
117_m_Ra,func,2,1,2,74,8,26,110,0.2,0.690909091,0.254545455,0.071428571,0.902439024,0.105263158,-0.026132404,0.2,0.732142857,-0.039597276,0.119522861,0.74,0.928571429,0.097560976,0.8,0.26,0.732142857,1.028957529,0.090909091,0.105263158
94_m_As,func,2,1,1,1,0,13,15,1,0.133333333,0.933333333,0.071428571,1,0.133333333,0.071428571,1,inf,0.071428571,0.267261242,0.071428571,0.928571429,0,0,0.928571429,inf,0.928571429,0.066666667,0.133333333
94_m_As,func,3,1,1,1,0,13,15,1,0.133333333,0.933333333,0.071428571,1,0.133333333,0.071428571,1,inf,0.071428571,0.267261242,0.071428571,0.928571429,0,0,0.928571429,inf,0.928571429,0.066666667,0.133333333
7_m_Lo,anat,1,1,2,82,0,26,110,1,0.763636364,0.254545455,0.071428571,1,0.133333333,0.071428571,1,inf,0.232879377,0.267261242,0.759259259,0.928571429,0,0,0.240740741,inf,0.928571429,0.018181818,0.133333333
7_m_Lo,anat,2,1,2,82,0,26,110,1,0.763636364,0.254545455,0.071428571,1,0.133333333,0.071428571,1,inf,0.232879377,0.267261242,0.759259259,0.928571429,0,0,0.240740741,inf,0.928571429,0.018181818,0.133333333
7_m_Se,anat,1,1,2,64,8,26,100,0.2,0.66,0.28,0.071428571,0.888888889,0.105263158,-0.03968254,0.2,0.642857143,-0.059391387,0.119522861,0.711111111,0.928571429,0.111111111,0.8,0.288888889,0.642857143,1.044642857,0.1,0.105263158
7_m_Br,diff,2,1,3,0,0,40,43,1,0.069767442,1,0.069767442,,0.130434783,,1,,0,0.264135272,0,0.930232558,,0,1,,,0.069767442,0.130434783
94_m_We,func,1,5,0,92,4,70,171,0.555555556,0.567251462,0.438596491,0.066666667,0.958333333,0.119047619,0.025,0.555555556,1.6,0.055555556,0.19245009,0.567901235,0.933333333,0.041666667,0.444444444,0.432098765,1.6,0.973913043,0.052631579,0.119047619
94c_m_As,func,2,1,1,0,1,14,16,0.5,0.0625,0.9375,0.066666667,0,0.117647059,-0.933333333,0.5,0.066666667,-0.683130051,0.182574186,0,0.933333333,1,0.5,1,0.066666667,inf,0.125,0.117647059
117_m_Vr,func,2,1,1,4,0,15,20,1,0.25,0.8,0.0625,1,0.117647059,0.0625,1,inf,0.114707867,0.25,0.210526316,0.9375,0,0,0.789473684,inf,0.9375,0.05,0.117647059
117_m_Vr,func,3,1,1,4,0,15,20,1,0.25,0.8,0.0625,1,0.117647059,0.0625,1,inf,0.114707867,0.25,0.210526316,0.9375,0,0,0.789473684,inf,0.9375,0.05,0.117647059
94c_m_As,diff,2,1,1,0,0,15,16,1,0.0625,1,0.0625,,0.117647059,,1,,0,0.25,0,0.9375,,0,1,,,0.0625,0.117647059
94c_m_As,diff,3,1,1,0,0,15,16,1,0.0625,1,0.0625,,0.117647059,,1,,0,0.25,0,0.9375,,0,1,,,0.0625,0.117647059
94_r_We,diff,2,1,2,0,0,30,32,1,0.0625,1,0.0625,,0.117647059,,1,,0,0.25,0,0.9375,,0,1,,,0.0625,0.117647059
94_m_We,func,2,4,0,108,13,47,171,0.1875,0.649122807,0.292397661,0.06,0.892561983,0.090909091,-0.047438017,0.1875,0.558461538,-0.074093203,0.106066017,0.696774194,0.94,0.107438017,0.8125,0.303225806,0.558461538,1.053148148,0.093567251,0.090909091
94_m_We,func,3,3,5,173,3,82,263,0.625,0.676806084,0.330798479,0.057471264,0.982954545,0.105263158,0.04042581,0.625,3.37164751,0.110754047,0.189524511,0.678431373,0.942528736,0.017045455,0.375,0.321568627,3.37164751,0.958873165,0.030418251,0.105263158
164_m_Ku,anat,1,4,2,382,44,34,462,0.043478261,0.831168831,0.077922078,0.055555556,0.896713615,0.048780488,-0.047730829,0.043478261,0.537878788,-0.042729661,0.049147319,0.918269231,0.944444444,0.103286385,0.956521739,0.081730769,0.537878788,1.053228621,0.0995671,0.048780488
7_m_Bo,diff,1,1,1,11,6,17,35,0.142857143,0.342857143,0.514285714,0.055555556,0.647058824,0.08,-0.297385621,0.142857143,0.157407407,-0.371580268,0.089087081,0.392857143,0.944444444,0.352941176,0.857142857,0.607142857,0.157407407,1.45959596,0.2,0.08
7_m_Bo,diff,2,1,1,15,2,17,35,0.333333333,0.457142857,0.514285714,0.055555556,0.882352941,0.095238095,-0.062091503,0.333333333,0.472222222,-0.110855507,0.136082763,0.46875,0.944444444,0.117647059,0.666666667,0.53125,0.472222222,1.07037037,0.085714286,0.095238095
7_m_Bo,diff,3,1,1,16,1,17,35,0.5,0.485714286,0.514285714,0.055555556,0.941176471,0.1,-0.003267974,0.5,0.944444444,-0.007036672,0.166666667,0.484848485,0.944444444,0.058823529,0.5,0.515151515,0.944444444,1.003472222,0.057142857,0.1
94_m_Va,diff,1,1,8,30,18,141,197,0.307692308,0.192893401,0.756345178,0.053691275,0.625,0.091428571,-0.321308725,0.307692308,0.143176734,-0.407522453,0.128531678,0.175438596,0.946308725,0.375,0.692307692,0.824561404,0.143176734,1.51409396,0.131979695,0.091428571
94_g_We,func,1,1,5,0,0,100,105,1,0.047619048,1,0.047619048,,0.090909091,,1,,0,0.21821789,0,0.952380952,,0,1,,,0.047619048,0.090909091
7_m_Br,diff,1,2,1,17,5,20,43,0.166666667,0.418604651,0.488372093,0.047619048,0.772727273,0.074074074,-0.17965368,0.166666667,0.20952381,-0.259167547,0.089087081,0.459459459,0.952380952,0.227272727,0.833333333,0.540540541,0.20952381,1.232492997,0.139534884,0.074074074
7_m_Br,diff,2,2,1,20,2,20,43,0.333333333,0.488372093,0.488372093,0.047619048,0.909090909,0.083333333,-0.043290043,0.333333333,0.523809524,-0.084941199,0.125988158,0.5,0.952380952,0.090909091,0.666666667,0.5,0.523809524,1.047619048,0.069767442,0.083333333
7_m_Br,diff,3,2,1,21,1,20,43,0.5,0.511627907,0.488372093,0.047619048,0.954545455,0.086956522,0.002164502,0.5,1.047619048,0.00513774,0.15430335,0.512195122,0.952380952,0.045454545,0.5,0.487804878,1.047619048,0.997732426,0.046511628,0.086956522
7_m_Br,diff,4,2,1,21,1,20,43,0.5,0.511627907,0.488372093,0.047619048,0.954545455,0.086956522,0.002164502,0.5,1.047619048,0.00513774,0.15430335,0.512195122,0.952380952,0.045454545,0.5,0.487804878,1.047619048,0.997732426,0.046511628,0.086956522
7_m_Br,diff,5,2,1,21,1,20,43,0.5,0.511627907,0.488372093,0.047619048,0.954545455,0.086956522,0.002164502,0.5,1.047619048,0.00513774,0.15430335,0.512195122,0.952380952,0.045454545,0.5,0.487804878,1.047619048,0.997732426,0.046511628,0.086956522
94_m_Va,diff,1,3,2,130,24,41,197,0.076923077,0.670050761,0.218274112,0.046511628,0.844155844,0.057971014,-0.109332528,0.076923077,0.298449612,-0.133431771,0.05981486,0.760233918,0.953488372,0.155844156,0.923076923,0.239766082,0.298449612,1.129516995,0.131979695,0.057971014
7_m_Br,diff,3,1,2,0,0,41,43,1,0.046511628,1,0.046511628,,0.088888889,,1,,0,0.215665546,0,0.953488372,,0,1,,,0.046511628,0.088888889
7_m_Br,diff,4,1,2,0,0,41,43,1,0.046511628,1,0.046511628,,0.088888889,,1,,0,0.215665546,0,0.953488372,,0,1,,,0.046511628,0.088888889
7_m_Br,diff,5,1,2,0,0,41,43,1,0.046511628,1,0.046511628,,0.088888889,,1,,0,0.215665546,0,0.953488372,,0,1,,,0.046511628,0.088888889
94_m_We,func,4,3,4,174,2,83,263,0.666666667,0.676806084,0.330798479,0.045977011,0.988636364,0.086021505,0.034613375,0.666666667,4.045977011,0.109073117,0.175075244,0.677042802,0.954022989,0.011363636,0.333333333,0.322957198,4.045977011,0.96498877,0.022813688,0.086021505
94_r_Fr,anat,3,1,7,559,9,146,721,0.4375,0.785020804,0.21220527,0.045751634,0.98415493,0.082840237,0.029906564,0.4375,2.887436456,0.083010274,0.141479115,0.792907801,0.954248366,0.01584507,0.5625,0.207092199,2.887436456,0.969611935,0.022191401,0.082840237
94_m_We,func,2,2,8,78,2,175,263,0.8,0.326996198,0.69581749,0.043715847,0.975,0.082901554,0.018715847,0.8,1.74863388,0.04502148,0.187009833,0.308300395,0.956284153,0.025,0.2,0.691699605,1.74863388,0.980804259,0.038022814,0.082901554
94_m_We,func,2,5,0,133,15,22,171,0.0625,0.783625731,0.134502924,0.043478261,0.898648649,0.051282051,-0.05787309,0.0625,0.428985507,-0.067802485,0.052128604,0.858064516,0.956521739,0.101351351,0.9375,0.141935484,0.428985507,1.064400131,0.093567251,0.051282051
94_m_We,func,3,4,0,140,8,22,171,0.111111111,0.824561404,0.134502924,0.043478261,0.945945946,0.0625,-0.010575793,0.111111111,0.804347826,-0.016159539,0.069504805,0.864197531,0.956521739,0.054054054,0.888888889,0.135802469,0.804347826,1.011180124,0.052631579,0.0625
7_m_Br,anat,2,1,1,0,0,23,24,1,0.041666667,1,0.041666667,,0.08,,1,,0,0.204124145,0,0.958333333,,0,1,,,0.041666667,0.08
7_m_Br,anat,3,1,1,0,0,23,24,1,0.041666667,1,0.041666667,,0.08,,1,,0,0.204124145,0,0.958333333,,0,1,,,0.041666667,0.08
94_r_Fr,diff,3,1,1,181,5,23,210,0.166666667,0.866666667,0.114285714,0.041666667,0.97311828,0.066666667,0.014784946,0.166666667,1.55,0.028235217,0.083333333,0.887254902,0.958333333,0.02688172,0.833333333,0.112745098,1.55,0.98480663,0.028571429,0.066666667
94_r_Fr,diff,4,1,1,184,2,23,210,0.333333333,0.880952381,0.114285714,0.041666667,0.989247312,0.074074074,0.030913978,0.333333333,3.875,0.082884094,0.11785113,0.888888889,0.958333333,0.010752688,0.666666667,0.111111111,3.875,0.96875,0.014285714,0.074074074
94_r_Fr,diff,5,1,1,186,0,23,210,1,0.89047619,0.114285714,0.041666667,1,0.08,0.041666667,1,inf,0.192565157,0.204124145,0.889952153,0.958333333,0,0,0.110047847,inf,0.958333333,0.004761905,0.08
164_m_Ku,anat,2,1,14,88,4,356,462,0.777777778,0.220779221,0.800865801,0.037837838,0.956521739,0.072164948,-0.005640423,0.777777778,0.87027027,-0.01164069,0.171550078,0.198198198,0.962162162,0.043478261,0.222222222,0.801801802,0.87027027,1.005896806,0.038961039,0.072164948
94_m_Va,diff,1,2,3,92,23,79,197,0.115384615,0.482233503,0.416243655,0.036585366,0.8,0.055555556,-0.163414634,0.115384615,0.182926829,-0.237991838,0.064972212,0.538011696,0.963414634,0.2,0.884615385,0.461988304,0.182926829,1.204268293,0.131979695,0.055555556
164_m_Ku,anat,2,3,4,338,14,106,462,0.222222222,0.74025974,0.238095238,0.036363636,0.960227273,0.0625,-0.003409091,0.222222222,0.914285714,-0.007503753,0.089893315,0.761261261,0.963636364,0.039772727,0.777777778,0.238738739,0.914285714,1.003550296,0.038961039,0.0625
117_m_Ra,func,3,1,1,78,4,27,110,0.2,0.718181818,0.254545455,0.035714286,0.951219512,0.060606061,-0.013066202,0.2,0.732142857,-0.027324716,0.084515425,0.742857143,0.964285714,0.048780488,0.8,0.257142857,0.732142857,1.013736264,0.045454545,0.060606061
7_m_Se,anat,2,1,1,69,3,27,100,0.25,0.7,0.28,0.035714286,0.958333333,0.0625,-0.005952381,0.25,0.857142857,-0.013638618,0.094491118,0.71875,0.964285714,0.041666667,0.75,0.28125,0.857142857,1.00621118,0.04,0.0625
7_m_Se,anat,3,1,1,70,2,27,100,0.333333333,0.71,0.28,0.035714286,0.972222222,0.064516129,0.007936508,0.333333333,1.285714286,0.020889509,0.109108945,0.721649485,0.964285714,0.027777778,0.666666667,0.278350515,1.285714286,0.991836735,0.03,0.064516129
94_m_We,func,2,1,8,23,2,230,263,0.8,0.117870722,0.904942966,0.033613445,0.92,0.064516129,-0.046386555,0.8,0.420168067,-0.071136147,0.163984012,0.090909091,0.966386555,0.08,0.2,0.909090909,0.420168067,1.050420168,0.038022814,0.064516129
94_m_We,func,3,2,6,78,2,177,263,0.75,0.319391635,0.69581749,0.032786885,0.975,0.062827225,0.007786885,0.75,1.31147541,0.020860237,0.156812512,0.305882353,0.967213115,0.025,0.25,0.694117647,1.31147541,0.992013451,0.030418251,0.062827225
94_r_We,diff,3,1,1,0,0,31,32,1,0.03125,1,0.03125,,0.060606061,,1,,0,0.176776695,0,0.96875,,0,1,,,0.03125,0.060606061
164_m_Ku,anat,2,2,10,111,8,333,462,0.555555556,0.261904762,0.742424242,0.029154519,0.932773109,0.055401662,-0.038072372,0.555555556,0.433673469,-0.086040462,0.127267258,0.25,0.970845481,0.067226891,0.444444444,0.75,0.433673469,1.040816327,0.038961039,0.055401662
94_g_We,func,2,1,3,0,0,102,105,1,0.028571429,1,0.028571429,,0.055555556,,1,,0,0.169030851,0,0.971428571,,0,1,,,0.028571429,0.055555556
94_g_We,func,3,1,3,0,0,102,105,1,0.028571429,1,0.028571429,,0.055555556,,1,,0,0.169030851,0,0.971428571,,0,1,,,0.028571429,0.055555556
94_g_We,func,4,1,3,0,0,102,105,1,0.028571429,1,0.028571429,,0.055555556,,1,,0,0.169030851,0,0.971428571,,0,1,,,0.028571429,0.055555556
94_m_We,func,4,2,5,79,1,178,263,0.833333333,0.319391635,0.69581749,0.027322404,0.9875,0.052910053,0.014822404,0.833333333,2.18579235,0.045671682,0.15089291,0.307392996,0.972677596,0.0125,0.166666667,0.692607004,2.18579235,0.98498997,0.022813688,0.052910053
164_m_Ku,anat,3,3,3,344,8,107,462,0.272727273,0.751082251,0.238095238,0.027272727,0.977272727,0.049586777,0.004545455,0.272727273,1.2,0.012698733,0.086243936,0.762749446,0.972727273,0.022727273,0.727272727,0.237250554,1.2,0.995348837,0.023809524,0.049586777
94_m_We,func,3,1,6,23,2,232,263,0.75,0.11026616,0.904942966,0.025210084,0.92,0.048780488,-0.054789916,0.75,0.31512605,-0.093571595,0.137504775,0.090196078,0.974789916,0.08,0.25,0.909803922,0.31512605,1.059554256,0.030418251,0.048780488
7_m_Se,diff,2,1,2,18,2,78,100,0.5,0.2,0.8,0.025,0.9,0.047619048,-0.075,0.5,0.25,-0.153093109,0.111803399,0.1875,0.975,0.1,0.5,0.8125,0.25,1.083333333,0.04,0.047619048
94_m_Va,diff,2,3,1,149,5,42,197,0.166666667,0.76142132,0.218274112,0.023255814,0.967532468,0.040816327,-0.009211719,0.166666667,0.71627907,-0.02214333,0.062257281,0.780104712,0.976744186,0.032467532,0.833333333,0.219895288,0.71627907,1.009520837,0.030456853,0.040816327
94_m_We,func,5,3,2,176,0,85,263,1,0.676806084,0.330798479,0.022988506,1,0.04494382,0.022988506,1,inf,0.124506336,0.151619609,0.674329502,0.977011494,0,0,0.325670498,inf,0.977011494,0.007604563,0.04494382
164_m_Ku,anat,3,1,8,89,3,362,462,0.727272727,0.20995671,0.800865801,0.021621622,0.967391304,0.041994751,-0.010987074,0.727272727,0.663063063,-0.028780094,0.125398627,0.197339246,0.978378378,0.032608696,0.272727273,0.802660754,0.663063063,1.011357425,0.023809524,0.041994751
94_m_We,func,4,1,5,24,1,233,263,0.833333333,0.11026616,0.904942966,0.021008403,0.96,0.040983607,-0.018991597,0.833333333,0.525210084,-0.037305922,0.132314031,0.093385214,0.978991597,0.04,0.166666667,0.906614786,0.525210084,1.019782913,0.022813688,0.040983607
94_m_We,func,3,5,0,113,8,49,171,0.111111111,0.666666667,0.292397661,0.02,0.933884298,0.033898305,-0.046115702,0.111111111,0.3025,-0.093939394,0.047140452,0.697530864,0.98,0.066115702,0.888888889,0.302469136,0.3025,1.049380531,0.052631579,0.033898305
94_r_Fr,anat,4,1,3,566,2,150,721,0.6,0.789181692,0.21220527,0.019607843,0.996478873,0.037974684,0.016086716,0.6,5.568627451,0.079258486,0.108465229,0.790502793,0.980392157,0.003521127,0.4,0.209497207,5.568627451,0.98385644,0.006934813,0.037974684
94_g_We,func,5,1,2,0,0,103,105,1,0.019047619,1,0.019047619,,0.037383178,,1,,0,0.138013112,0,0.980952381,,0,1,,,0.019047619,0.037383178
94_r_Fr,anat,1,2,1,583,81,56,721,0.012195122,0.80998613,0.079056865,0.01754386,0.878012048,0.014388489,-0.104444092,0.012195122,0.143816331,-0.088766274,0.014627013,0.912363067,0.98245614,0.121987952,0.987804878,0.087636933,0.143816331,1.118955192,0.113730929,0.014388489
94_r_Fr,anat,2,2,1,638,26,56,721,0.037037037,0.886269071,0.079056865,0.01754386,0.960843373,0.023809524,-0.021612767,0.037037037,0.448043185,-0.030716393,0.025490637,0.919308357,0.98245614,0.039156627,0.962962963,0.080691643,0.448043185,1.022493538,0.037447989,0.023809524
94_r_Fr,anat,3,2,1,649,15,56,721,0.0625,0.901525659,0.079056865,0.01754386,0.977409639,0.02739726,-0.005046502,0.0625,0.776608187,-0.009243945,0.033113309,0.920567376,0.98245614,0.022590361,0.9375,0.079432624,0.776608187,1.005163139,0.022191401,0.02739726
164_m_Ku,anat,3,2,6,114,5,337,462,0.545454545,0.25974026,0.742424242,0.017492711,0.957983193,0.033898305,-0.024524095,0.545454545,0.416326531,-0.070344302,0.097680494,0.252771619,0.982507289,0.042016807,0.454545455,0.747228381,0.416326531,1.025599714,0.023809524,0.033898305
94_m_We,func,4,4,0,93,3,74,171,0.25,0.549707602,0.438596491,0.013333333,0.96875,0.025316456,-0.017916667,0.25,0.426666667,-0.058821383,0.057735027,0.556886228,0.986666667,0.03125,0.75,0.443113772,0.426666667,1.018494624,0.023391813,0.025316456
7_m_Se,diff,3,1,1,20,0,79,100,1,0.21,0.8,0.0125,1,0.024691358,0.0125,1,inf,0.050251891,0.111803399,0.202020202,0.9875,0,0,0.797979798,inf,0.9875,0.01,0.024691358
94_m_Va,diff,2,2,1,110,5,81,197,0.166666667,0.563451777,0.416243655,0.012195122,0.956521739,0.022727273,-0.031283139,0.166666667,0.280487805,-0.089737478,0.045083482,0.57591623,0.987804878,0.043478261,0.833333333,0.42408377,0.280487805,1.0327051,0.030456853,0.022727273
94_m_We,func,5,2,2,80,0,181,263,1,0.311787072,0.69581749,0.010928962,1,0.021621622,0.010928962,1,inf,0.05787809,0.104541675,0.30651341,0.989071038,0,0,0.69348659,inf,0.989071038,0.007604563,0.021621622
164_m_Ku,anat,4,1,4,91,1,366,462,0.8,0.205627706,0.800865801,0.010810811,0.989130435,0.021333333,-5.88E-05,0.8,0.994594595,-0.000226773,0.092998111,0.199124726,0.989189189,0.010869565,0.2,0.800875274,0.994594595,1.0000594,0.010822511,0.021333333
164_m_Ku,anat,4,3,1,348,4,109,462,0.2,0.755411255,0.238095238,0.009090909,0.988636364,0.017391304,-0.002272727,0.2,0.8,-0.009355605,0.042640143,0.761487965,0.990909091,0.011363636,0.8,0.238512035,0.8,1.002298851,0.010822511,0.017391304
94_m_We,func,5,1,2,25,0,236,263,1,0.102661597,0.904942966,0.008403361,1,0.016666667,0.008403361,1,inf,0.028371106,0.09166985,0.095785441,0.991596639,0,0,0.904214559,inf,0.991596639,0.007604563,0.016666667
94_m_Va,diff,2,1,1,43,5,148,197,0.166666667,0.223350254,0.756345178,0.006711409,0.895833333,0.012903226,-0.097455257,0.166666667,0.06442953,-0.243459495,0.033445003,0.22513089,0.993288591,0.104166667,0.833333333,0.77486911,0.06442953,1.108787264,0.030456853,0.012903226
164_m_Ku,anat,4,2,2,116,3,341,462,0.4,0.255411255,0.742424242,0.005830904,0.974789916,0.011494253,-0.01937918,0.4,0.231292517,-0.081905458,0.048294529,0.253829322,0.994169096,0.025210084,0.6,0.746170678,0.231292517,1.019880366,0.010822511,0.011494253
164_m_Ku,anat,5,1,2,91,1,368,462,0.666666667,0.201298701,0.800865801,0.005405405,0.989130435,0.010723861,-0.00546416,0.666666667,0.497297297,-0.027167595,0.060030023,0.198257081,0.994594595,0.010869565,0.333333333,0.801742919,0.497297297,1.005524206,0.006493506,0.010723861
164_m_Ku,anat,5,2,1,117,2,342,462,0.333333333,0.255411255,0.742424242,0.002915452,0.983193277,0.005780347,-0.013891271,0.333333333,0.173469388,-0.075630252,0.031173984,0.254901961,0.997084548,0.016806723,0.666666667,0.745098039,0.173469388,1.014128728,0.006493506,0.005780347
117c_m_Ri,diff,2,1,0,5,1,12,18,0,0.277777778,0.666666667,0,0.833333333,0,-0.166666667,0,0,-0.34299717,0,0.294117647,1,0.166666667,1,0.705882353,0,1.2,0.055555556,0
117c_m_Ri,diff,2,2,0,12,1,5,18,0,0.666666667,0.277777778,0,0.923076923,0,-0.076923077,0,0,-0.150414209,0,0.705882353,1,0.076923077,1,0.294117647,0,1.083333333,0.055555556,0
117c_m_Ri,diff,3,1,0,5,1,12,18,0,0.277777778,0.666666667,0,0.833333333,0,-0.166666667,0,0,-0.34299717,0,0.294117647,1,0.166666667,1,0.705882353,0,1.2,0.055555556,0
117c_m_Ri,diff,3,2,0,12,1,5,18,0,0.666666667,0.277777778,0,0.923076923,0,-0.076923077,0,0,-0.150414209,0,0.705882353,1,0.076923077,1,0.294117647,0,1.083333333,0.055555556,0
117c_m_Ri,diff,4,1,0,6,0,12,18,,0.333333333,0.666666667,0,1,0,0,,inf,0,,0.333333333,1,0,,0.666666667,inf,1,0,0
117c_m_Ri,diff,4,2,0,13,0,5,18,,0.722222222,0.277777778,0,1,0,0,,inf,0,,0.722222222,1,0,,0.277777778,inf,1,0,0
117c_m_Ri,diff,1,3,0,12,3,3,18,0,0.666666667,0.166666667,0,0.8,0,-0.2,0,0,-0.2,0,0.8,1,0.2,1,0.2,0,1.25,0.166666667,0
117c_m_Ri,diff,5,1,0,6,0,12,18,,0.333333333,0.666666667,0,1,0,0,,inf,0,,0.333333333,1,0,,0.666666667,inf,1,0,0
117c_m_Ri,diff,5,2,0,13,0,5,18,,0.722222222,0.277777778,0,1,0,0,,inf,0,,0.722222222,1,0,,0.277777778,inf,1,0,0
117c_m_Ri,diff,2,3,0,14,1,3,18,0,0.777777778,0.166666667,0,0.933333333,0,-0.066666667,0,0,-0.108465229,0,0.823529412,1,0.066666667,1,0.176470588,0,1.071428571,0.055555556,0
117_m_Ra,diff,1,1,0,15,7,4,26,0,0.576923077,0.153846154,0,0.681818182,0,-0.318181818,0,0,-0.258815853,0,0.789473684,1,0.318181818,1,0.210526316,0,1.466666667,0.269230769,0
117_m_Ra,diff,1,2,0,16,7,3,26,0,0.615384615,0.115384615,0,0.695652174,0,-0.304347826,0,0,-0.219214324,0,0.842105263,1,0.304347826,1,0.157894737,0,1.4375,0.269230769,0
117c_m_Ri,diff,3,3,0,14,1,3,18,0,0.777777778,0.166666667,0,0.933333333,0,-0.066666667,0,0,-0.108465229,0,0.823529412,1,0.066666667,1,0.176470588,0,1.071428571,0.055555556,0
117c_m_Ri,diff,4,3,0,15,0,3,18,,0.833333333,0.166666667,0,1,0,0,,inf,0,,0.833333333,1,0,,0.166666667,inf,1,0,0
117c_m_Ri,diff,5,3,0,15,0,3,18,,0.833333333,0.166666667,0,1,0,0,,inf,0,,0.833333333,1,0,,0.166666667,inf,1,0,0
117_m_Ra,diff,2,1,0,19,3,4,26,0,0.730769231,0.153846154,0,0.863636364,0,-0.136363636,0,0,-0.153998101,0,0.826086957,1,0.136363636,1,0.173913043,0,1.157894737,0.115384615,0
117_m_Ra,diff,2,2,0,20,3,3,26,0,0.769230769,0.115384615,0,0.869565217,0,-0.130434783,0,0,-0.130434783,0,0.869565217,1,0.130434783,1,0.130434783,0,1.15,0.115384615,0
117_m_Ra,diff,1,3,0,18,7,1,26,0,0.692307692,0.038461538,0,0.72,0,-0.28,0,0,-0.121395396,0,0.947368421,1,0.28,1,0.052631579,0,1.388888889,0.269230769,0
117_m_Ra,diff,1,4,0,18,7,1,26,0,0.692307692,0.038461538,0,0.72,0,-0.28,0,0,-0.121395396,0,0.947368421,1,0.28,1,0.052631579,0,1.388888889,0.269230769,0
117_m_Ra,diff,2,3,0,22,3,1,26,0,0.846153846,0.038461538,0,0.88,0,-0.12,0,0,-0.072231512,0,0.956521739,1,0.12,1,0.043478261,0,1.136363636,0.115384615,0
117_m_Ra,diff,3,1,0,21,1,4,26,0,0.807692308,0.153846154,0,0.954545455,0,-0.045454545,0,0,-0.085280287,0,0.84,1,0.045454545,1,0.16,0,1.047619048,0.038461538,0
117_m_Ra,diff,3,2,0,22,1,3,26,0,0.846153846,0.115384615,0,0.956521739,0,-0.043478261,0,0,-0.072231512,0,0.88,1,0.043478261,1,0.12,0,1.045454545,0.038461538,0
